[Wed Apr 26 01:44:34.095559 2023] [mpm_itk:warn] [pid 3122] (13)Permission denied: [client 192.168.2.40:55247] Couldn't read /srv/users/finremsz/vkevfas-m1/.htaccess, closing connection., referer: http://vkevfas-m1.wsr.ru/site/login
[Wed Apr 26 01:52:00.478227 2023] [mpm_itk:warn] [pid 3293] (13)Permission denied: [client 192.168.2.40:55352] Couldn't read /srv/users/finremsz/vkevfas-m1/site/request, closing connection., referer: http://vkevfas-m1.wsr.ru/
[Wed Apr 26 02:48:34.898829 2023] [mpm_itk:warn] [pid 5026] (13)Permission denied: [client 192.168.2.40:56028] Couldn't read /srv/users/finremsz/vkevfas-m1/site/logout, closing connection., referer: http://vkevfas-m1.wsr.ru/
[Wed Apr 26 04:07:35.872853 2023] [mpm_itk:warn] [pid 6955] (13)Permission denied: [client 192.168.2.40:56350] Couldn't read /srv/users/finremsz/vkevfas-m1/.htaccess, closing connection., referer: http://vkevfas-m1.wsr.ru/site/register
[Wed May 10 01:55:39.440132 2023] [mpm_itk:warn] [pid 44462] (13)Permission denied: [client 192.168.2.50:56630] Couldn't read /srv/users/finremsz/vkevfas-m1/create_test/type-question/index, closing connection., referer: http://vkevfas-m1.wsr.ru/create_test
[Wed May 10 02:54:04.345101 2023] [mpm_itk:warn] [pid 50374] (13)Permission denied: [client 192.168.2.50:58416] Couldn't read /srv/users/finremsz/vkevfas-m1/gii/model, closing connection., referer: http://vkevfas-m1.wsr.ru/gii/model
[Wed May 10 05:46:33.991798 2023] [mpm_itk:warn] [pid 66144] (13)Permission denied: [client 192.168.2.50:60937] Couldn't read /srv/users/finremsz/vkevfas-m1/create_test/type-question/index, closing connection., referer: http://vkevfas-m1.wsr.ru/create_test/default/index
[Thu May 11 00:09:47.714072 2023] [mpm_itk:warn] [pid 91917] (13)Permission denied: [client 192.168.2.50:49153] Couldn't read /srv/users/finremsz/vkevfas-m1/.htaccess, closing connection., referer: http://wsr.ru/
[Thu May 11 00:09:47.716976 2023] [mpm_itk:warn] [pid 91916] (13)Permission denied: [client 192.168.2.50:49152] Couldn't read /srv/users/finremsz/vkevfas-m1/.htaccess, closing connection., referer: http://wsr.ru/
[Thu May 11 00:09:47.721002 2023] [mpm_itk:warn] [pid 91914] (13)Permission denied: [client 192.168.2.50:65533] Couldn't read /srv/users/finremsz/vkevfas-m1/.htaccess, closing connection., referer: http://wsr.ru/
[Thu May 11 00:09:47.724562 2023] [mpm_itk:warn] [pid 91915] (13)Permission denied: [client 192.168.2.50:65534] Couldn't read /srv/users/finremsz/vkevfas-m1/.htaccess, closing connection., referer: http://wsr.ru/
[Thu May 11 00:09:47.849007 2023] [mpm_itk:warn] [pid 91919] (13)Permission denied: [client 192.168.2.50:49155] Couldn't read /srv/users/finremsz/vkevfas-m1/assets/385bb7d9/css/bootstrap.css, closing connection., referer: http://vkevfas-m1.wsr.ru/
[Thu May 11 00:09:56.834564 2023] [mpm_itk:warn] [pid 91926] (13)Permission denied: [client 192.168.2.50:49162] Couldn't read /srv/users/finremsz/vkevfas-m1/blog, closing connection., referer: http://vkevfas-m1.wsr.ru/
[Thu May 11 00:09:57.573419 2023] [mpm_itk:warn] [pid 91924] (13)Permission denied: [client 192.168.2.50:49160] Couldn't read /srv/users/finremsz/vkevfas-m1/debug/default/toolbar, closing connection., referer: http://vkevfas-m1.wsr.ru/testing
